t	I	Q	E	Ur	Uc	ss	DerE	IntE	Uc/DerE	Ur/IntE
0	0	0	0	0	0	0	1	-1	0	-0
0.02	0.0199987	0	0.0199987	0.0199987	0	0	0.9998	-1.9998	0	-0.0100003
0.04	0.0359896	0.000399973	0.0399893	0.0359896	0.00399973	0.00399973	0.9992	-2.999	0.00400294	-0.0120005
0.06	0.0487664	0.00111977	0.059964	0.0487664	0.0111977	0.0111977	0.998201	-3.9972	0.0112178	-0.0122001
0.08	0.0589638	0.00209509	0.0799147	0.0589638	0.0209509	0.0209509	0.996802	-4.994	0.0210181	-0.0118069
0.1	0.0670897	0.00327437	0.0998334	0.0670897	0.0327437	0.0327437	0.995004	-5.98901	0.0329081	-0.0112021
0.12	0.0735506	0.00461616	0.119712	0.0735506	0.0461616	0.0461616	0.992809	-6.98182	0.046496	-0.0105346
0.14	0.0786714	0.00608717	0.139543	0.0786714	0.0608717	0.0608717	0.990216	-7.97203	0.0614732	-0.00986842
0.16	0.0827122	0.0076606	0.159318	0.0827122	0.076606	0.076606	0.987227	-8.95926	0.0775971	-0.00923204
0.18	0.0858811	0.00931485	0.17903	0.0858811	0.0931485	0.0931485	0.983844	-9.9431	0.0946781	-0.00863726
0.2	0.0883447	0.0110325	0.198669	0.0883447	0.110325	0.110325	0.980067	-10.9232	0.112569	-0.00808782
0.22	0.090236	0.0127994	0.21823	0.090236	0.127994	0.127994	0.975897	-11.8991	0.131155	-0.00758345
0.24	0.0916618	0.0146041	0.237703	0.0916618	0.146041	0.146041	0.971338	-12.8704	0.15035	-0.00712191
0.26	0.0927074	0.0164373	0.257081	0.0927074	0.164373	0.164373	0.96639	-13.8368	0.17009	-0.00670006
0.28	0.093441	0.0182915	0.276356	0.093441	0.182915	0.182915	0.961055	-14.7978	0.190327	-0.0063145
0.3	0.0939174	0.0201603	0.29552	0.0939174	0.201603	0.201603	0.955336	-15.7532	0.211028	-0.0059618
0.32	0.0941802	0.0220386	0.314567	0.0941802	0.220386	0.220386	0.949235	-16.7024	0.232172	-0.00563872
0.34	0.0942647	0.0239222	0.333487	0.0942647	0.239222	0.239222	0.942755	-17.6452	0.253748	-0.00534224
0.36	0.0941989	0.0258075	0.352274	0.0941989	0.258075	0.258075	0.935897	-18.5811	0.275752	-0.00506962
0.38	0.0940054	0.0276915	0.37092	0.0940054	0.276915	0.276915	0.928665	-19.5097	0.298186	-0.00481838
0.4	0.0937022	0.0295716	0.389418	0.0937022	0.295716	0.295716	0.921061	-20.4308	0.32106	-0.00458632
0.42	0.0933038	0.0314457	0.40776	0.0933038	0.314457	0.314457	0.913089	-21.3439	0.344388	-0.00437146
0.44	0.0928221	0.0333117	0.425939	0.0928221	0.333117	0.333117	0.904752	-22.2486	0.368187	-0.00417203
0.46	0.0922663	0.0351682	0.443948	0.0922663	0.351682	0.351682	0.896052	-23.1447	0.392479	-0.0039865
0.48	0.0916441	0.0370135	0.461779	0.0916441	0.370135	0.370135	0.886995	-24.0317	0.417291	-0.00381347
0.5	0.0909617	0.0388464	0.479426	0.0909617	0.388464	0.388464	0.877583	-24.9093	0.442652	-0.00365172
0.52	0.0902239	0.0406656	0.49688	0.0902239	0.406656	0.406656	0.867819	-25.7771	0.468596	-0.00350016
0.54	0.089435	0.0424701	0.514136	0.089435	0.424701	0.424701	0.857709	-26.6348	0.495158	-0.00335783
0.56	0.0885982	0.0442588	0.531186	0.0885982	0.442588	0.442588	0.847255	-27.4821	0.522379	-0.00322386
0.58	0.0877163	0.0460308	0.548024	0.0877163	0.460308	0.460308	0.836463	-28.3185	0.550303	-0.00309749
0.6	0.0867916	0.0477851	0.564642	0.0867916	0.477851	0.477851	0.825336	-29.1439	0.578978	-0.00297804
0.62	0.0858259	0.0495209	0.581035	0.0858259	0.495209	0.495209	0.813878	-29.9577	0.608456	-0.0028649
0.64	0.084821	0.0512374	0.597195	0.084821	0.512374	0.512374	0.802096	-30.7598	0.638795	-0.00275753
0.66	0.0837782	0.0529339	0.613117	0.0837782	0.529339	0.529339	0.789992	-31.5498	0.670055	-0.00265543
0.68	0.0826988	0.0546094	0.628793	0.0826988	0.546094	0.546094	0.777573	-32.3274	0.702306	-0.00255816
0.7	0.0815837	0.0562634	0.644218	0.0815837	0.562634	0.562634	0.764842	-33.0922	0.735621	-0.00246534
0.72	0.0804339	0.0578951	0.659385	0.0804339	0.578951	0.578951	0.751806	-33.844	0.77008	-0.00237661
0.74	0.0792504	0.0595038	0.674288	0.0792504	0.595038	0.595038	0.738469	-34.5825	0.805772	-0.00229163
0.76	0.0780338	0.0610888	0.688921	0.0780338	0.610888	0.610888	0.724836	-35.3073	0.842794	-0.00221013
0.78	0.076785	0.0626494	0.703279	0.076785	0.626494	0.626494	0.710914	-36.0183	0.881253	-0.00213184
0.8	0.0755047	0.0641851	0.717356	0.0755047	0.641851	0.641851	0.696707	-36.715	0.921265	-0.00205651
0.82	0.0741935	0.0656952	0.731146	0.0741935	0.656952	0.656952	0.682221	-37.3972	0.962961	-0.00198393
0.84	0.0728521	0.0671791	0.744643	0.0728521	0.671791	0.671791	0.667463	-38.0646	1.00648	-0.0019139
0.86	0.0714811	0.0686361	0.757843	0.0714811	0.686361	0.686361	0.652437	-38.7171	1.052	-0.00184624
0.88	0.0700812	0.0700658	0.770739	0.0700812	0.700658	0.700658	0.637151	-39.3542	1.09967	-0.00178078
0.9	0.068653	0.0714674	0.783327	0.068653	0.714674	0.714674	0.62161	-39.9758	1.14971	-0.00171736
0.92	0.0671971	0.0728405	0.795602	0.0671971	0.728405	0.728405	0.60582	-40.5817	1.20234	-0.00165585
0.94	0.0657142	0.0741844	0.807558	0.0657142	0.741844	0.741844	0.589788	-41.1715	1.25781	-0.00159611
0.96	0.0642048	0.0754987	0.819192	0.0642048	0.754987	0.754987	0.57352	-41.745	1.31641	-0.00153802
0.98	0.0626696	0.0767828	0.830497	0.0626696	0.767828	0.767828	0.557023	-42.302	1.37845	-0.00148148
1	0.0611093	0.0780362	0.841471	0.0611093	0.780362	0.780362	0.540302	-42.8423	1.44431	-0.00142638
